STATION,ELEVATION,LATITUDE,LONGITUDE,DATE,PRCP,TAVG,TMAX,TMIN
GHCND:USC00209014,200.9,42.08333,-83.58333,19701026,0.00,-9999,63,41
GHCND:USC00209014,200.9,42.08333,-83.58333,19701027,0.00,-9999,62,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19701028,0.10,-9999,61,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19701029,0.34,-9999,55,50
GHCND:USC00209014,200.9,42.08333,-83.58333,19701030,0.00,-9999,63,39
GHCND:USC00209014,200.9,42.08333,-83.58333,19701031,0.00,-9999,60,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19701101,0.09,-9999,54,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19701102,0.52,-9999,54,36
GHCND:USC00209014,200.9,42.08333,-83.58333,19701103,0.00,-9999,46,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19701104,0.01,-9999,47,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19701105,0.00,-9999,48,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19701106,0.00,-9999,55,34
GHCND:USC00209014,200.9,42.08333,-83.58333,19701107,0.00,-9999,56,30
GHCND:USC00209014,200.9,42.08333,-83.58333,19701108,0.00,-9999,56,24
GHCND:USC00209014,200.9,42.08333,-83.58333,19701109,0.35,-9999,63,42
GHCND:USC00209014,200.9,42.08333,-83.58333,19701110,0.04,-9999,53,47
GHCND:USC00209014,200.9,42.08333,-83.58333,19701111,0.00,-9999,51,44
GHCND:USC00209014,200.9,42.08333,-83.58333,19701112,0.00,-9999,52,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19701113,0.00,-9999,50,38
GHCND:USC00209014,200.9,42.08333,-83.58333,19701114,0.15,-9999,38,32
GHCND:USC00209014,200.9,42.08333,-83.58333,19701115,0.00,-9999,34,17
GHCND:USC00209014,200.9,42.08333,-83.58333,19701116,0.00,-9999,38,17
GHCND:USC00209014,200.9,42.08333,-83.58333,19701117,0.00,-9999,44,28
GHCND:USC00209014,200.9,42.08333,-83.58333,19701118,0.00,-9999,45,28
GHCND:USC00209014,200.9,42.08333,-83.58333,19701119,0.00,-9999,46,35
GHCND:USC00209014,200.9,42.08333,-83.58333,19701120,0.63,-9999,52,40
GHCND:USC00209014,200.9,42.08333,-83.58333,19701121,0.00,-9999,47,29
GHCND:USC00209014,200.9,42.08333,-83.58333,19701122,0.01,-9999,49,22
GHCND:USC00209014,200.9,42.08333,-83.58333,19701123,0.00,-9999,25,15
